hash_module_type,buffer_type,scheduler_type,num_ports,global_voq_size,shared_memory_size,axis_data_width,clock_frequency_mhz,queue_depth_log,hash_lut,hash_ff,hash_bram,rx_lut,rx_ff,rx_bram,sched_lut,sched_ff,sched_bram,buffer_bram,total_lut,total_ff,total_bram,buffer_memory_bytes,packets_received,packets_transmitted,packets_dropped,total_cycles,avg_latency_ns,max_latency_ns,throughput_gbps,voq_overflow,shared_mem_overflow,drop_rate,rx_utilization,hash_utilization,scheduler_utilization,line_rate_achieved_ratio,phase,per_port_voq_sizes,original_total_memory,optimized_total_memory,bram_saving_pct,performance_degradation_pct
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,4096,512,250.0,9,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,4096,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,4096,640,250.0,9,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,4096,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,8192,256,250.0,10,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,8192,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,8192,512,250.0,10,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,8192,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,8192,640,250.0,10,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,8192,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,16384,256,250.0,11,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,16384,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,16384,512,250.0,11,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,16384,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,16384,640,250.0,11,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,16384,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,32768,256,250.0,12,3850,2714,0,268,2677,64,33175,33342,90,16,37293,38733,170,32768,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,32768,512,250.0,12,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,32768,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,32768,640,250.0,12,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,32768,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,65536,256,250.0,13,3850,2714,0,268,2677,64,33175,33342,90,32,37293,38733,186,65536,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,65536,512,250.0,13,6417,4524,0,447,4463,64,55293,55571,150,32,62157,64558,246,65536,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,65536,640,250.0,13,4812,3393,0,335,3347,64,41469,41678,112,40,46616,48418,216,65536,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,131072,256,250.0,14,3850,2714,0,268,2677,64,33175,33342,90,64,37293,38733,218,131072,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,131072,512,250.0,14,6417,4524,0,447,4463,64,55293,55571,150,64,62157,64558,278,131072,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,131072,640,250.0,14,4812,3393,0,335,3347,64,41469,41678,112,80,46616,48418,256,131072,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,262144,256,250.0,15,3850,2714,0,268,2677,64,33175,33342,90,128,37293,38733,282,262144,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,262144,512,250.0,15,6417,4524,0,447,4463,64,55293,55571,150,128,62157,64558,342,262144,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,262144,640,250.0,15,4812,3393,0,335,3347,64,41469,41678,112,140,46616,48418,316,262144,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,256,256,250.0,5,23971,6062,0,268,2677,64,24699,31366,336,8,48938,40105,408,256,998,1016,0,17620,29819.65498031498,0.0,7.378396426543118,False,False,0.0,0.04650255391600454,0.6796821793416572,0.6796821793416572,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,256,512,250.0,5,39952,10104,0,447,4463,64,41165,52277,560,16,81564,66844,640,256,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,256,640,250.0,5,29964,7578,0,335,3347,64,30873,39207,420,20,61172,50132,504,256,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,512,256,250.0,6,23971,6062,0,268,2677,64,24699,31366,336,8,48938,40105,408,512,998,1016,0,17620,29819.65498031498,0.0,7.378396426543118,False,False,0.0,0.04650255391600454,0.6796821793416572,0.6796821793416572,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,512,512,250.0,6,39952,10104,0,447,4463,64,41165,52277,560,16,81564,66844,640,512,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,512,640,250.0,6,29964,7578,0,335,3347,64,30873,39207,420,20,61172,50132,504,512,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,1024,256,250.0,7,23971,6062,0,268,2677,64,24699,31366,336,8,48938,40105,408,1024,998,1016,0,17620,29819.65498031498,0.0,7.378396426543118,False,False,0.0,0.04650255391600454,0.6796821793416572,0.6796821793416572,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,1024,512,250.0,7,39952,10104,0,447,4463,64,41165,52277,560,16,81564,66844,640,1024,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,1024,640,250.0,7,29964,7578,0,335,3347,64,30873,39207,420,20,61172,50132,504,1024,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,2048,256,250.0,8,23971,6062,0,268,2677,64,24699,31366,336,8,48938,40105,408,2048,998,1016,0,17620,29819.65498031498,0.0,7.378396426543118,False,False,0.0,0.04650255391600454,0.6796821793416572,0.6796821793416572,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,2048,512,250.0,8,39952,10104,0,447,4463,64,41165,52277,560,16,81564,66844,640,2048,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,2048,640,250.0,8,29964,7578,0,335,3347,64,30873,39207,420,20,61172,50132,504,2048,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,4096,256,250.0,9,23971,6062,0,268,2677,64,24699,31366,336,8,48938,40105,408,4096,998,1016,0,17620,29819.65498031498,0.0,7.378396426543118,False,False,0.0,0.04650255391600454,0.6796821793416572,0.6796821793416572,1.0,1,,0,0,0.0,0.0
MultiBankHash,OneBufferPerPort,RoundRobin,8,-1,4096,512,250.0,9,39952,10104,0,447,4463,64,41165,52277,560,16,81564,66844,640,4096,998,1016,0,16868,28193.86757874018,0.0,7.707228667894231,False,False,0.0,0.04118004505572682,0.6508181171448897,0.7099834005216978,1.0,1,,0,0,0.0,0.0
